Link	New name	Change	Who Number	Last name	Prop Lists	Rec Lists	Locator name	French	Spanish	Russian	Arabic	Chinese	Phonetic	Molecular formula	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=37	thiacetarsamide sodium		37	thiacetarsamide sodium	1	1	thiacetarsamide sodium [INN]	thiacétarsamide sodique	tiacetarsamida de sodio	тиацетарсамид натрия	ثياسيتارساميد صوديوم	硫胂胺钠	tiacetarsamide	C11H10AsNNa2O5S2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=38	hydrocortisone		38	hydrocortisone	1	6	hydrocortisone [INN]	hydrocortisone	hidrocortisona	гидрокортизон	هيدروكورتيزون	氢化可的松	hidrocortisone	C21H30O5	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=39	erythromycin		39	erythromycin	4, 26	3	erythromycin [INN]	érythromycine	eritromicina	эритромицин	إيريثروميسين	红霉素	eritromicin	C37H67NO13	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=42	tocamphyl		42	tocamphyl	1	1	tocamphyl [INN]	tocamphyl	tocanfilo	токамфил	توكامفيل	托坎非	tocamfil	C4H11NO2.C19H26O4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=45	pyroxylin		45	pyroxylin	1	1	pyroxylin [INN]	pyroxyline	piroxilina	пироксилин	بيروكسيلين	火棉	piroxilin	(C12H16N4O18)n	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=48	diphenan		48	diphenan	1	1	diphenan [INN]	diphénane	difenán	дифенан	ديفينان	地芬南	difenan	C14H13NO2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=50	corbadrine		50	corbadrine	1	24	corbadrine [INN]	corbadrine	corbadrina	корбадрин	كوربادرين	可巴君	corbadrine	C9H13NO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=53	carbromal		53	carbromal	1	1	carbromal [INN]	carbromal	carbromal	карбромал	كاربرومال	卡溴脲	carbromal	C7H13BrN2O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=58	benzylpenicillin		58	benzylpenicillin	53	25	benzylpenicillin [INN]	benzylpénicilline	bencilpenicilina	бензилпенициллин	بنزيل بنيسيلين	苄青霉素	benzilpenicillin	C16H18N2O4S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=61	dimenhydrinate		61	dimenhydrinate	1	1	dimenhydrinate [INN]	diménhydrinate	dimenhidrinato	дименгидринат	ديمينهيدرينات	茶苯海明	dimenhidrinate	C17H21NO.C7H7ClN4O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=63	aminoquinuride		63	aminoquinuride	45	21	aminoquinuride [INN]	aminoquinuride	aminoquinurida	аминохинурид	أمينوكينوريد	氨喹脲	aminoqinuride	C21H20N6O	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=66	glutamic acid		66	glutamic acid	59	29	glutamic acid [INN]	acide glutamique	ácido glutámico	глутаминовая кислота	حمض غلوتاميك	谷氨酸	glutamic glutamate	C5H9NO4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=68	folic acid		68	folic acid	4, 87, 88, 89, 90, 91, 99	3	folic acid [INN]	acide folique	ácido fólico	фолиевая кислота	حمض فوليك	叶酸	folic folate	C19H19N7O6	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=77	globin zinc insulin injection		77	globin zinc insulin injection	6	3	globin zinc insulin injection [INN]	prép. injectable d'insuline zinc globine	inyectable de insulina cinc globina	инсулин цинк глобин для инъекций	حقنة إنسولين زنك غلوبين 		globin	Empty	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=79	bibrocathol		79	bibrocathol	1	1	bibrocathol [INN]	bibrocathol	bibrocatol	биброкатол	بيبروكاثول	铋溴酚	bibrocatol	C6HBiBr4O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=81	dantron		81	dantron	14	16	dantron [INN]	dantrone	dantrón	дантрон	دانترون	丹蒽醌	dantron	C14H8O4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=83	dithranol		83	dithranol	4	18	dithranol [INN]	dithranol	ditranol	дитранол	ديثرانول	地蒽酚	ditranol	C14H10O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=84	dixanthogen		84	dixanthogen	1	1	dixanthogen [INN]	dixanthogène	dixantogeno	диксантоген	ديكسانثوجين	二黄原酸	dixantogen	C6H10O2S4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=87	lauril		87	lauril	41		lauril [INN]	lauril	laurilo	лаурил	لوريل		lauril	C12H25O or C12H26O (alcohol)	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=89	menadiol sodium sulfate		89	menadiol sodium sulfate	1	4	menadiol sodium sulfate [INN]	sulfate sodique de ménadiol	sulfato de menadiol y sodio	менадиола натрия сульфат	سلفات صوديوم ميناديول	甲萘氢醌硫酸钠	menadiol	C11H8Na2O8S2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=91	levorphanol		91	levorphanol	4	2	levorphanol [INN]	lévorphanol	levorfanol	леворфанол	ليفورفانول	左啡诺	levorfanol	C17H23NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=92	phenacemide		92	phenacemide	1	1	phenacemide [INN]	phénacémide	fenacemida	фенацемид	فيناسيميد	苯乙酰脲	fenacemide	C9H10N2O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=95	alverine		95	alverine	16	40	alverine [INN]	alvérine	alverina	алверин	ألفيرين	阿尔维林	alverine	C20H27N	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=97	stilbamidine isetionate		97	stilbamidine isetionate	4	3	stilbamidine isetionate [INN]	isétionate de stilbamidine	isetionato de estilbamidina	стилбамидин изэтионат	إيسيتيونات ستيلباميدين  	依西司替巴脒	stilbamidine isetionate	C20H28N4O8S2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=98	subathizone		98	subathizone	1	1	subathizone [INN]	subathizone	subatizona	субатизон	سوباثيزون	舒巴硫腙	subatizone	C10H13N3O2S2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=99	sulfisomidine		99	sulfisomidine	1	1	sulfisomidine [INN]	sulfisomidine	sulfisomidina	сульфизомидин	سولفيسوميدين	磺胺索嘧啶	sulfisomidine	C12H14N4O2S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=102	thebacon		102	thebacon	5		thebacon [INN]	thébacone	tebacón	тебакон	ثيباكون	醋氢可酮	tebacon	C20H23NO4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=103	oxytetracycline		103	oxytetracycline	1	1	oxytetracycline [INN]	oxytétracycline	oxitetraciclina	окситетрациклин	أوكسيتيتراسيكلين	土霉素	oxitetracicline	C22H24N2O9	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=104	chlorphenamine		104	chlorphenamine	4	3	chlorphenamine [INN]	chlorphénamine	clorfenamina	хлорфенамин	كلورفينامين	氯苯那敏	chlorfenamine	C16H19ClN2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=105	pheniramine		105	pheniramine	8	4	pheniramine [INN]	phéniramine	feniramina	фенирамин	فينيرامين	非尼拉敏	feniramine	C16H20N2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=106	mepyramine		106	mepyramine	1	1	mepyramine [INN]	mépyramine	mepiramina	мепирамин	ميبيرامين	美吡拉敏	mepiramine	C17H23N3O	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=108	cinchocaine		108	cinchocaine	1	1	cinchocaine [INN]	cinchocaïne	cincocaína	цинхокаин	سينكوكائين          	辛可卡因	cinchocaine	C20H29N3O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=109	diperodon		109	diperodon	1	1	diperodon [INN]	dipérodon	diperodón	диперодон	ديبيرودون  	地哌冬	diperodon	C22H27N3O4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=111	dextrorphan		111	dextrorphan	1		dextrorphan [INN]	dextrorphane	dextrorfano	декстрорфан	ديكسترورفان	右啡烷	dextrorfan	C17H23NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=112	acriflavinium chloride		112	acriflavinium chloride	1	1	acriflavinium chloride [INN]	chlorure d'acriflavinium	cloruro de acriflavinio	акрифлавиния хлорид	كلوريد أكريفلافينيوم	吖啶黄	acriflavinium	Empty	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=113	methylrosanilinium chloride		113	methylrosanilinium chloride	1	1	methylrosanilinium chloride [INN]	chlorure de méthylrosanilinium	cloruro de metilrosanilina	метилрозанилиния хлорид	كلوريد ميثيلروسانيلينيوم	甲紫	metilrosanilinium	C25H30ClN3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=114	chlorazodin		114	chlorazodin	1	1	chlorazodin [INN]	chlorazodine	clorazodina	хлоразодин	كلورازودين  	氯脒佐定	chlorazodin	C2H4Cl2N6	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=115	halazone		115	halazone	41	43	halazone [INN]	halazone	halazona	галазон	هالازون	哈拉宗	halazone	C7H5Cl2NO4S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=117	amsonate		117	amsonate	18		amsonate [INN]	amsonate	amsonato	амзонат	أمسونات	安索酸盐(或酯)	amsonate	C14H12N2O6S2 (anion) or C14H14N2O6S2 (acid)	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=118	methylbenzethonium chloride		118	methylbenzethonium chloride	1	1	methylbenzethonium chloride [INN]	chlorure de méthylbenzéthonium	cloruro de metilbencetonio	метилбензетония хлорид	كلوريد ميثيلبانزيثونيوم	甲苄索氯铵	metilbenzetonium	C28H44ClNO2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=119	methenamine		119	methenamine	1	1	methenamine [INN]	méthénamine	metenamina	метенамин	ميثينامين	乌洛托品	metenamine	C6H12N4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=120	bunapsilate		120	bunapsilate	24		bunapsilate [INN]	bunapsilate	bunapsilato	бунапсилат	بونابسيلات	丁萘磺酸盐(或酯)	bunapsilate	C18H22O6S2 (anion) or C18H24O6S2 (acid)	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=121	nitrosulfathiazole		121	nitrosulfathiazole	1	1	nitrosulfathiazole [INN]	nitrosulfathiazol	nitrosulfatiazol	нитросульфатиазол	نيتروسلفاثيازول	硝磺胺噻唑	nitrosulfatiazole	C9H7N3O4S2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=122	sulfacetamide		122	sulfacetamide	1	1	sulfacetamide [INN]	sulfacétamide	sulfacetamida	сульфацетамид	سولفاسيتاميد	磺胺醋酰	sulfacetamide	C8H10N2O3S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=123	stibamine glucoside		123	stibamine glucoside	1	1	stibamine glucoside [INN]	stibamine glucoside	estibamina glucósido	стибамина глюкозид	ستيبامين غلوكوزيد	锑巴葡胺	stibamine glucoside	C36H49N3NaO22Sb3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=124	phenarsone sulfoxylate		124	phenarsone sulfoxylate	1		phenarsone sulfoxylate [INN]	sulfoxylate de phénarsone	sulfoxilato de fenarsona	фенарсона сульфоксилат	سلفوكسيلات فينارسون	次硫酸非那胂	fenarsone sulfoxilate	C7H8AsNNa2O6S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=128	sodium morrhuate		128	sodium morrhuate	1	1	sodium morrhuate [INN]	morrhuate de sodium	morruato de sodio	натрия морруат	موروات صوديوم 	鱼肝油酸钠	morrhuate	Empty	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=130	sodium tetradecyl sulfate		130	sodium tetradecyl sulfate	1	1	sodium tetradecyl sulfate [INN]	tétradécyl sulfate de sodium	tetradecilsulfato de sodio	натрия тетрадецилсульфат	تتراديسيل سولفات صوديوم	十四烷硫酸钠	tetradecil	C14H29NaO4S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=131	homatropine methylbromide		131	homatropine methylbromide	1	1	homatropine methylbromide [INN]	méthylbromure d'homatropine	metilbromuro de homatropina	гоматропина метилбромид	ميثيلبروميد هوماتروبين	甲溴后马托品	homatropine metilbromide	C17H24BrNO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=133	furtrethonium iodide		133	furtrethonium iodide	1	1	furtrethonium iodide [INN]	iodure de furtréthonium	ioduro de furtretonio	фуртретония йодид	إيوديد فورتريثونيوم 	呋索碘铵	furtretonium iodide	C8H14INO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=134	benzpyrinium bromide		134	benzpyrinium bromide	1	1	benzpyrinium bromide [INN]	bromure de benzpyrinium	bromuro de benzopirinio	бензпириния бромид	بروميد بنزبيرينيوم	苄吡溴铵	benzpirinium	C15H17BrN2O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=135	cyclopentamine		135	cyclopentamine	1	1	cyclopentamine [INN]	cyclopentamine	ciclopentamina	циклопентамин	سيكلوبينتامين	环喷他明	ciclopentamine	C9H19N	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=136	hydroxyamfetamine		136	hydroxyamfetamine	55	26	hydroxyamfetamine [INN]	hydroxyamfétamine	hidroxianfetamina	гидроксиамфетамин	هيدروكسي أمفيتامين	羟苯丙胺	hidroxiamfetamine	C9H13NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=137	methoxyphenamine		137	methoxyphenamine	1	7	methoxyphenamine [INN]	méthoxyphénamine	metoxifenamina	метоксифенамин	ميثوكسي فينامين	甲氧那明	metoxifenamine	C11H17NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=139	phenpromethamine		139	phenpromethamine	1	4	phenpromethamine [INN]	phenprométhamine	fenprometamina	фенпрометамин	فينبروميثامين	苯丙甲胺	fenprometamine	C10H15N	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=140	tuaminoheptane		140	tuaminoheptane	1	1	tuaminoheptane [INN]	tuaminoheptane	tuaminoheptano	туаминогептан	توامينوهيبتان	异庚胺	tuaminoheptane	C7H17N	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=142	gitalin amorphous		142	gitalin amorphous	4		gitalin amorphous [INN]	gitaline amorphe	gitalina amorfa	гиталин аморфный	جيلاتين أمورف	无定形吉他林	gitalin amorfous	Empty	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=143	mannitol hexanitrate		143	mannitol hexanitrate	1	18	mannitol hexanitrate [INN]	hexanitrate de mannitol	hexanitrato de manitol	маннитола гексанитрат	هيكسانيترات مانيتول	甘露六硝酯	mannitol hexanitrate	C6H8N6O18	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=145	probarbital sodium		145	probarbital sodium	1	1	probarbital sodium [INN]	probarbital sodique	probarbital de sodio	пробарбитал натрия	بروباربيتال صوديوم	普罗比妥钠	probarbital	C9H13N2NaO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=146	secobarbital		146	secobarbital	4	3	secobarbital [INN]	sécobarbital	secobarbital	секобарбитал	سيكوباربيتال	司可巴比妥	secobarbital	C12H18N2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=148	levomethorphan		148	levomethorphan	1	1	levomethorphan [INN]	lévométhorphane	levometorfano	левометорфан	ليفوميثورفان	左美沙芬	levometorfan	C18H25NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=149	piperoxan		149	piperoxan	1	1	piperoxan [INN]	pipéroxan	piperoxano	пипероксан	بيبيروكسان	哌罗克生	piperoxan	C14H19NO2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=152	sodium acetrizoate		152	sodium acetrizoate	4	3	sodium acetrizoate [INN]	acétrizoate de sodium	acetrizoato de sodio	натрия ацетризоат	أسيتريزوات صوديوم	醋碘苯酸钠	acetrizoate	C9H5I3NNaO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=154	mercaptomerin		154	mercaptomerin	1	1	mercaptomerin [INN]	mercaptomérine	mercaptomerina	меркаптомерин	ميركابتوميرين	硫汞林	mercaptomerin	C16H27HgNO6S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=155	mercumatilin sodium		155	mercumatilin sodium	4	3	mercumatilin sodium [INN]	mercumatiline sodique	mercumatilina de sodio	меркуматилин натрия	ميركوماتيلين صوديوم	汞香豆林钠	mercumatilin	C14H13HgNaO6.C7H8N4O2.H2O	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=157	dehydrocholic acid		157	dehydrocholic acid	1	1	dehydrocholic acid [INN]	acide déhydrocholique	ácido dehidrocólico	дегидрохолевая кислота	حمض ديهيدروكوليك	去氢胆酸	dehidrocholic dehidrocholate	C24H34O5	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=158	sodium dehydrocholate		158	sodium dehydrocholate	1	1	sodium dehydrocholate [INN]	déhydrocholate de sodium	dehidrocolato de sodio	натрия дегидрохолат	ديهيدروكولات صوديوم	去氢胆酸钠	dehidrocholate	C24H33NaO5	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=159	methylcellulose		159	methylcellulose	4	3	methylcellulose [INN]	méthylcellulose	metilcelulosa	метилцеллюлоза	ميثيل سيلولوز	甲基纤维素	metilcellulose	Empty	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=162	benzestrol		162	benzestrol	1	1	benzestrol [INN]	benzestrol	bencestrol	бензэстрол	بنزيسترول	苯雌酚	benzestrol	C20H26O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=164	methestrol		164	methestrol	1	1	methestrol [INN]	méthestrol	metestrol	метэстрол	ميثيسترول	美雌酚	metestrol	C20H26O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=165	isophane insulin		165	isophane insulin	4	3	isophane insulin [INN]	isophane insuline	insulina isófana	инсулин-изофан	إنسولين إيزوفان	低精蛋白胰岛素	isofane insulin	Empty	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=166	dextromethorphan		166	dextromethorphan	1		dextromethorphan [INN]	dextrométhorphane	dextrometorfano	декстрометорфан	ديكستروميثورفان	右美沙芬	dextrometorfan	C18H25NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=168	sodium cyclamate		168	sodium cyclamate	1	1	sodium cyclamate [INN]	cyclamate de sodium	ciclamato de sodio	натрия цикламат	سيكلامات صوديوم	环拉酸钠	ciclamate	C6H12NNaO3S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=169	macrogol		169	macrogol	34, 90, 107	17, 51, 69	macrogol [INN]	macrogol	macrogol	макрогол	ماكروغول	聚乙二醇	macrogol	Empty	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=170	camsilate		170	camsilate	18		camsilate [INN]	camsilate	camsilato	камсилат	كامسيلات  	樟磺酸盐(或酯)	camsilate	C10H16O4S (acid)	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=171	mephenesin		171	mephenesin	1	1	mephenesin [INN]	méphénésine	mefenesina	мефенезин	ميفينيزين	美芬新	mefenesin	C10H14O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=172	carbesilate		172	carbesilate	35		carbesilate [INN]	carbésilate	carbesilato	карбезилат	كاربيسيلات	羟苯磺酸盐(或酯)	carbesilate	C7H6O5S (acid)	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=174	sodium ascorbate		174	sodium ascorbate	1	1	sodium ascorbate [INN]	ascorbate de sodium	ascorbato de sodio	натрия аскорбат	أسكوربات صوديوم	维生素C钠	ascorbate	C6H7NaO6	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=176	cyclizine		176	cyclizine	1	6	cyclizine [INN]	cyclizine	ciclizina	циклизин	سيكليزين	赛克力嗪	ciclizine	C18H22N2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=177	phytomenadione		177	phytomenadione	1	4	phytomenadione [INN]	phytoménadione	fitomenadiona	фитоменадион	فيتوميناديون  		fitomenadione	C31H46O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=179	chloropyramine		179	chloropyramine	1	4	chloropyramine [INN]	chloropyramine	cloropiramina	хлоропирамин	كلوروبيرامين	氯吡拉敏	chloropiramine	C16H20ClN3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=180	ibrotamide		180	ibrotamide	1	1	ibrotamide [INN]	ibrotamide	ibrotamida	ибротамид	إيبروتاميد	异溴米特	ibrotamide	C7H14BrNO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=181	dibemethine		181	dibemethine	1	4	dibemethine [INN]	dibéméthine	dibemetina	дибеметин	ديبيميثين	双苄甲胺	dibemetine	C15H17N	
