Link	New name	Change	Who Number	Last name	Prop Lists	Rec Lists	Locator name	French	Spanish	Russian	Arabic	Chinese	Phonetic	Molecular formula				"InchiKey


asdasd"					
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8395	becampanel		8395	becampanel	90	52	becampanel [INN]	bécampanel	becampanel	??????????	??????????	????	becampanel	C10H11N4O7P	becampanel	OP(O)(=O)CNCC1=CC(=CC2=C1NC(=O)C(=O)N2)[N+]([O-])=O	X3D0O800AJ	ABFMMCZFKUIJGQ-UHFFFAOYSA-N	188696-80-2	C10H11N4O7P	BECAMPANEL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABFMMCZFKUIJGQ-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=897	methylchromone		897	methylchromone	10	4	methylchromone [INN]	méthylchromone	metilcromona	???????????	????? ??????	???	metilchromone	C10H8O2	methylchromone	CC1=COC2=C(C=CC=C2)C1=O	KJ0091KAAH	ABJKIHHNDMEBNA-UHFFFAOYSA-N	85-90-5	C10H8O2	METHYLCHROMONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABJKIHHNDMEBNA-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6550	butenafine		6550	butenafine	62	30	butenafine [INN]	buténafine	butenafina	?????????	?????????	????	butenafine	C23H27N	butenafine	CN(CC1=CC=C(C=C1)C(C)(C)C)CC2=C3C=CC=CC3=CC=C2	91Y494NL0X	ABJKWBDEJIDSJZ-UHFFFAOYSA-N	101828-21-1	C23H27N	BUTENAFINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABJKWBDEJIDSJZ-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3053	heliomycin		3053	heliomycin	25	11	heliomycin [INN]	héliomycine	heliomicina	??????????	??????????	????	heliomicin	C23H18O6	heliomycin	CC1=C2C(O)=CC3=C4C2=C(C(O)=C1)C(=O)C5=C(O)C=C(O)C(C(=O)C3(C)C)=C45	7N3A092A5X	ABLACSIRCKEUOB-UHFFFAOYSA-N	11029-70-2	C22H16O6	HELIOMYCIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABLACSIRCKEUOB-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4524	miloxacin		4524	miloxacin	40	19	miloxacin [INN]	miloxacine	miloxacino	??????????	??????????	????	miloxacin	C12H9NO6	miloxacin	CON1C=C(C(O)=O)C(=O)C2=C1C=C3OCOC3=C2	VM4W7043SN	ABQYZRZVRIPTPI-UHFFFAOYSA-N	37065-29-5	C12H9NO6	MILOXACIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABQYZRZVRIPTPI-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3649	dibuprol		3649	dibuprol	32	15	dibuprol [INN]	dibuprol	dibuprol	????????	????????	????	dibuprol	C11H24O3	dibuprol	CCCCOCC(O)COCCCC	1627CY4S8U	ABSDZQDZDHJMPX-UHFFFAOYSA-N	2216-77-5	C11H24O3	DIBUPROL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABSDZQDZDHJMPX-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4732	democonazole		4732	democonazole	42	20	democonazole [INN]	démoconazole	democonazol	???????????	???????????	????	democonazole	C19H15Cl3N2O2	democonazole	ClC1=CC=C(OCCO\C(=C\N2C=CN=C2)C3=C(Cl)C=C(Cl)C=C3)C=C1	2Z4E7E087J	ABVFVJRTKMVJMV-XDHOZWIPSA-N	70161-09-0	C19H15Cl3N2O2	DEMOCONAZOLE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABVFVJRTKMVJMV-XDHOZWIPSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7136	sprodiamide		7136	sprodiamide	70	34	sprodiamide [INN]	sprodiamide	esprodiamida	??????????	??????????  	???	sprodiamide	C16H28DyN5O9.xH2O	sprodiamide	[Dy+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O	0E6DA2DHBE	ABWHOEHSTSEVRD-UHFFFAOYSA-K	128470-17-7	C16H26N5O8	SPRODIAMIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABWHOEHSTSEVRD-UHFFFAOYSA-K/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=462	nicothiazone		462	nicothiazone	10	4	nicothiazone [INN]	nicothiazone	nicotiazona	??????????	??????????	????	nicotiazone	C7H8N4S	nicothiazone	NC(=S)N\N=C\C1=CC=CN=C1	2MR9VJF32M	ABWLRVJYVVQTGQ-BJMVGYQFSA-N	555-90-8	C7H8N4S	NICOTHIAZONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABWLRVJYVVQTGQ-BJMVGYQFSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3706	exaprolol		3706	exaprolol	32	15	exaprolol [INN]	exaprolol	exaprolol	??????????	?????????	????	exaprolol	C18H29NO2	exaprolol	CC(C)NCC(O)COC1=CC=CC=C1C2CCCCC2	Q4XX54I93R	ABXHHEZNIJUQFM-UHFFFAOYSA-N	55837-19-9	C18H29NO2	EXAPROLOL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ABXHHEZNIJUQFM-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4366	valdipromide		4366	valdipromide	38	18	valdipromide [INN]	valdipromide	valdipromida	???????????	???????????	?????	valdipromide	C11H23NO	valdipromide	CCCC(CCC)(CCC)C(N)=O	8JAK753213	ACBLZFZDCOGNHD-UHFFFAOYSA-N	52061-73-1	C11H23NO	VALDIPROMIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACBLZFZDCOGNHD-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8770	catramilast		8770	catramilast	95	57	catramilast [INN]	catramilast	catramilast	???????????	???????????	????	catramilast	C17H22N2O3	catramilast	COC1=C(OCC2CC2)C=C(C=C1)[C@H](C)CN3C=CNC3=O	QVZ4XA556B	ACBYRQONKZKIIY-GFCCVEGCSA-N	183659-72-5	C17H22N2O3	CATRAMILAST	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACBYRQONKZKIIY-GFCCVEGCSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7905	bilastine		7905	bilastine	82	44	bilastine [INN]	bilastine	bilastina	????????	????????	????	bilastine	C28H37N3O3	bilastine	CCOCCN1C(=NC2=C1C=CC=C2)C3CCN(CCC4=CC=C(C=C4)C(C)(C)C(O)=O)CC3	PA1123N395	ACCMWZWAEFYUGZ-UHFFFAOYSA-N	202189-78-4	C28H37N3O3	BILASTINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACCMWZWAEFYUGZ-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=848	nihydrazone		848	nihydrazone	10	4	nihydrazone [INN]	nihydrazone	nihidrazona	??????????	??????????	????	nihidrazone	C7H7N3O4	nihydrazone	CC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O	8BS3E41XVP	ACFHHZJOAUZSJU-XBXARRHUSA-N	67-28-7	C7H7N3O4	NIHYDRAZONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACFHHZJOAUZSJU-XBXARRHUSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1024	guanethidine		1024	guanethidine	11	5	guanethidine [INN]	guanéthidine	guanetidina	??????????	??????????	???	guanetidine	C10H22N4	guanethidine	NC(=N)NCCN1CCCCCCC1	ZTI6C33Q2Q	ACGDKVXYNVEAGU-UHFFFAOYSA-N	55-65-2	C10H22N4	GUANETHIDINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACGDKVXYNVEAGU-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=2033	hexachlorophene		2033	hexachlorophene	1	1	hexachlorophene [INN]	hexachlorophène	hexaclorofeno	?????????????	?????????????	???	hexachlorofene	C13H6Cl6O2	hexachlorophene	OC1=C(Cl)C=C(Cl)C(Cl)=C1CC2=C(Cl)C(Cl)=CC(Cl)=C2O	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	70-30-4	C13H6Cl6O2	HEXACHLOROPHENE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACGUYXCXAPNIKK-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3632	actodigin		3632	actodigin	32	15	actodigin [INN]	actodigine	actodigina	?????????	?????????	????	actodigin	C29H44O9	actodigin	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](CC[C@]34C)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@]1(O)CC[C@@H]2C6=CCOC6=O	9E4KL95FK9	ACLJAFRNPZVVIW-ADFGDECNSA-N	36983-69-4	C29H44O9	ACTODIGIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACLJAFRNPZVVIW-ADFGDECNSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3091	ruvazone		3091	ruvazone	26	12	ruvazone [INN]	ruvazone	ruvazona	???????	???????	???	ruvazone	C12H14N2O4	ruvazone	CCOC1=C(C=CC=C1)C(=O)NN=C(C)C(O)=O	[NO STEREO] O5U67O8927	ACONNXZOJIHEHN-MDWZMJQESA-N	[NO STEREO] 20228-27-7	C12H14N2O4	[NO STEREO] RUVAZONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACONNXZOJIHEHN-MDWZMJQESA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7523	ivabradine		7523	ivabradine	75	37	ivabradine [INN]	ivabradine	ivabradina	?????????	??????????	????	ivabradine	C27H36N2O5	ivabradine	COC1=CC2=C(CC(=O)N(CCCN(C)C[C@H]3CC4=CC(OC)=C(OC)C=C34)CC2)C=C1OC	3H48L0LPZQ	ACRHBAYQBXXRTO-OAQYLSRUSA-N	155974-00-8	C27H36N2O5	IVABRADINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACRHBAYQBXXRTO-OAQYLSRUSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4147	clodronic acid		4147	clodronic acid	37	17	clodronic acid [INN]	acide clodronique	ácido clodrónico	??????????? ???????	??? ?????????  	????	clodronic clodronate	CH4Cl2O6P2	clodronic acid	OP(O)(=O)C(Cl)(Cl)P(O)(O)=O	0813BZ6866	ACSIXWWBWUQEHA-UHFFFAOYSA-N	10596-23-3	CH4Cl2O6P2	CLODRONIC ACID	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACSIXWWBWUQEHA-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3463	ubidecarenone		3463	ubidecarenone	48	23	ubidecarenone [INN]	ubidécarénone	ubidecarenona	????????????	?????????????	????	ubidecarenone	C59H90O4	ubidecarenone	COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O	EJ27X76M46	ACTIUHUUMQJHFO-UPTCCGCDSA-N	303-98-0	C59H90O4	UBIDECARENONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACTIUHUUMQJHFO-UPTCCGCDSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=478	spiramycin		478	spiramycin	6	3	spiramycin [INN]	spiramycine	espiramicina	??????????	??????????	????	spiramicin	Empty	spiramycin	CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@H]2CC[C@@H]([C@@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]3O[C@H](C)C(O[C@H]4C[C@@](C)(O)[C@@H](O)C(C)O4)[C@H]([C@H]3O)N(C)C	[NO STEREO] 033ECH6IFG	ACTOXUHEUCPTEW-HRAVRIHDSA-N	[NO STEREO] 24916-50-5	C43H74N2O14	[NO STEREO] SPIRAMYCIN I	PUBCHEM	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACTOXUHEUCPTEW-HRAVRIHDSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4621	succimer		4621	succimer	42	20	succimer [INN]	succimer	succimero	????????	????????  	?????	succimer	C4H6O4S2	succimer	OC(=O)[C@@H](S)[C@@H](S)C(O)=O	DX1U2629QE	ACTRVOBWPAIOHC-XIXRPRMCSA-N	304-55-2	C4H6O4S2	SUCCIMER	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACTRVOBWPAIOHC-XIXRPRMCSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7016	valsartan		7016	valsartan	68	33	valsartan [INN]	valsartan	valsartán	?????????	?????????	???	valsartan	C24H29N5O3	valsartan	CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O	80M03YXJ7I	ACWBQPMHZXGDFX-QFIPXVFZSA-N	137862-53-4	C24H29N5O3	VALSARTAN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACWBQPMHZXGDFX-QFIPXVFZSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=9764	binimetinib		9764	binimetinib	109	71	binimetinib [INN]	binimétinib	binimetinib	???????????	???????????	????	String	C17H15BrF2N4O3	binimetinib	CN1C=NC2=C1C=C(C(=O)NOCCO)C(NC3=C(F)C=C(Br)C=C3)=C2F	181R97MR71	ACWZRVQXLIRSDF-UHFFFAOYSA-N	606143-89-9	C17H15BrF2N4O3	BINIMETINIB	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACWZRVQXLIRSDF-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6720	leuciglumer		6720	leuciglumer	68	33	leuciglumer [INN]	leuciglumère	leuciglúmero	???????????	??????????	???	leuciglumer	(C6H13NO2.C6H11NO4)n	leuciglumer	CC(C)C[C@H](N)C(O)=O.COC(=O)CC[C@H](N)C(O)=O		ACYNOJOVIUFXEQ-KDDYFZQKSA-N		C6H11NO4		PUBCHEM	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACYNOJOVIUFXEQ-KDDYFZQKSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=5952	policresulen		5952	policresulen	55	26	policresulen [INN]	policrésulène	policresuleno	????????????	????????????	?????	policresulen	(C7H7O4S)(C8H8O4S)n(C8H9O4S)	policresulen	CC1=CC(O)=C(C=C1CC2=C(C)C(CC3=CC(=C(O)C=C3C)S(O)(=O)=O)=C(O)C(=C2)S(O)(=O)=O)S(O)(=O)=O		ACZKMKGNTMOPBD-UHFFFAOYSA-N		C23H24O12S3		PUBCHEM	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACZKMKGNTMOPBD-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=5552	clomoxir		5552	clomoxir	52	25	clomoxir [INN]	clomoxir	clomoxir	?????????	?????????	????	clomoxir	C14H17ClO3	clomoxir	OC(=O)C2(CCCCCC1=CC=C(Cl)C=C1)CO2	PD884XOZ9F	ACZKTJZXXSHIGF-UHFFFAOYSA-N	88431-47-4	C14H17ClO3	CLOMOXIR	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACZKTJZXXSHIGF-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6557	candoxatrilat		6557	candoxatrilat	62	30	candoxatrilat [INN]	candoxatrilate	candoxatrilat	??????????????	??????????????	????	candoxatrilat	C20H33NO7	candoxatrilat	COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]2CC[C@H](CC2)C(O)=O)C(O)=O	7WU8BZ90TH	ACZWIDANLCXHBM-HRCADAONSA-N	123122-54-3	C20H33NO7	CANDOXATRILAT	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACZWIDANLCXHBM-HRCADAONSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7927	bulaquine		7927	bulaquine	82		bulaquine [INN]	bulaquine	bulaquina	???????	???????		bulakwine	C21H27N3O3	bulaquine	COC1=CC(NC(C)CCCN\C(C)=C2\CCOC2=O)=C3N=CC=CC3=C1	TSQ6U39Q3G	ADCOUXIGWFEYJP-SDXDJHTJSA-N	79781-00-3	C21H27N3O3	BULAQUINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ADCOUXIGWFEYJP-SDXDJHTJSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7517	donepezil		7517	donepezil	75	37	donepezil [INN]	donépézil	donepezilo	?????????	?????????	????	donepezil	C24H29NO3	donepezil	COC1=CC2=C(C=C1OC)C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)C2	8SSC91326P	ADEBPBSSDYVVLD-UHFFFAOYSA-N	120014-06-4	C24H29NO3	DONEPEZIL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ADEBPBSSDYVVLD-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1070	anazolene sodium		1070	anazolene sodium	13	40	anazolene sodium [INN]	anazolène sodique	anazoleno de sodio	???????? ??????	???????? ??????	?????	anazolene	C26H16N3Na3O10S3	anazolene sodium	[Na+].[Na+].[Na+].OC1=CC(=CC2=CC(=CC(\N=N\C3=C4C=CC=C(C4=C(NC5=CC=CC=C5)C=C3)S([O-])(=O)=O)=C12)S([O-])(=O)=O)S([O-])(=O)=O	F6G1K9WJU4	ADGGJQPKBDIZMT-IAXIIBAVSA-K	3861-73-2	C26H16N3O10S3	ANAZOLENE SODIUM	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ADGGJQPKBDIZMT-IAXIIBAVSA-K/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3687	butanixin		3687	butanixin	32	15	butanixin [INN]	butanixine	butanixino	??????????	??????????	???	butanixin	C16H18N2O2	butanixin	CCCCC1=CC=C(NC2=NC=CC=C2C(O)=O)C=C1	FZ99TBX0LI	ADIBYIWFBDMKNY-UHFFFAOYSA-N	55285-35-3	C16H18N2O2	BUTANIXIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ADIBYIWFBDMKNY-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1507	oxazepam		1507	oxazepam	13	5	oxazepam [INN]	oxazépam	oxazepam	?????????	??????????	????	oxazepam	C15H11ClN2O2	oxazepam	OC1N=C(C2=CC=CC=C2)C3=C(NC1=O)C=CC(Cl)=C3	6GOW6DWN2A	ADIMAYPTOBDMTL-UHFFFAOYSA-N	604-75-1	C15H11ClN2O2	OXAZEPAM	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ADIMAYPTOBDMTL-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6133	moxiraprine		6133	moxiraprine	60	29	moxiraprine [INN]	moxiraprine	moxiraprina	???????????	???????????	????	moxiraprine	C17H22N4O2	moxiraprine	CC1=C(NCCN2CCOCC2)N=NC(=C1)C3=CC=C(O)C=C3	7ET381H9UA	ADRHYFBXMFKHDO-UHFFFAOYSA-N	82239-52-9	C17H22N4O2	MOXIRAPRINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ADRHYFBXMFKHDO-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4121	prenalterol		4121	prenalterol	38	18	prenalterol [INN]	prénaltérol	prenalterol	???????????	???????????    	????	prenalterol	C12H19NO3	prenalterol	CC(C)NC[C@H](O)COC1=CC=C(O)C=C1	M4G34404CX	ADUKCCWBEDSMEB-NSHDSACASA-N	57526-81-5	C12H19NO3	PRENALTEROL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ADUKCCWBEDSMEB-NSHDSACASA-N/SDF
